gid,tipo_insta,estado,tipo_estac,calle_1,num_calle1,calle_2,num_calle2,calle_3,num_calle3,num_instal,num_zona,num_centra,fecha,orden_trab,observacio,armario_es,armario_de,columna800,detector,central_de,proteccion,arrancador,icp_amperi,dif_amperi,rotacion,OID_,N?®MERO,D?ûA,TARDE,NOCHE,IMD
445,EA,Instalado,Anual,AVENIDA PUERTA DE SANCHO,,AVENIDA PABLO GARGALLO,,CALLE BATALLA DE ALMANSA,,395,0,0,21/10/2015,,,0,0,0,0,0,0,0,,,0,381,395,"0,05970","0,06030","0,00530","2699,00000"
446,EA,Instalado,Anual,AVENIDA PABLO GARGALLO,,AVENIDA PUERTA DE SANCHO,,CALLE BRUSELAS,,394,0,0,21/10/2015,,,0,0,0,0,0,0,0,,,0,380,394,"0,06060","0,05410","0,00710","2852,00000"
447,EA,Instalado,Anual,AVENIDA PABLO GARGALLO,,CALLE BRUSELAS,,AVENIDA PUERTA DE SANCHO,,393,0,0,21/10/2015,,,0,0,0,0,0,0,0,,,0,379,393,"0,05920","0,05900","0,00670","8139,00000"
448,EA,Instalado,Anual,AVENIDA PUERTA DE SANCHO,,AVENIDA PABLO GARGALLO,,CALLE RIO CINCA,,398,0,0,21/10/2015,,,0,0,0,0,0,0,0,,,0,384,398,"0,06010","0,05530","0,00720","3818,00000"
449,EA,Instalado,Anual,AVENIDA PUERTA DE SANCHO,,CALLE RIO CINCA,,AVENIDA PABLO GARGALLO,,397,0,0,21/10/2015,,,0,0,0,0,0,0,0,,,0,383,397,"0,05950","0,05420","0,00860","4398,00000"
450,EA,Instalado,Anual,AVENIDA PABLO GARGALLO,,AVENIDA PUERTA DE SANCHO,,CALLE BATALLA DE ARAPILES,,392,0,0,21/10/2015,,,0,0,0,0,0,0,0,,,0,378,392,"0,05900","0,05400","0,00940","8366,00000"
451,EA,Instalado,Anual,AVENIDA FRANCIA,,AVENIDA PABLO GARGALLO,,LUXEMBURGO,,364,0,0,20/10/2015,,,0,0,0,0,0,0,0,,,0,350,364,"0,06110","0,04950","0,00860","3710,00000"
452,EA,Instalado,Anual,CALLE BERNA,,LUXEMBURGO,,AVENIDA PABLO GARGALLO,,365,0,0,20/10/2015,,,0,0,0,0,0,0,0,,,0,351,365,"0,06110","0,04760","0,00960","1592,00000"
453,EA,Instalado,Anual,AVENIDA PUERTA DE SANCHO,,AVENIDA CIUDAD DE SORIA,,CALLE LAGO,,557,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,528,557,"0,06030","0,05580","0,00670","4270,00000"
454,EA,Instalado,Anual,AVENIDA PUERTA DE SANCHO,,CALLE LAGO,,AVENIDA CIUDAD DE SORIA,,558,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,529,558,"0,06060","0,04830","0,00990","4673,00000"
455,EA,Instalado,Anual,CALLE JUAN BAUTISTA DEL MAZO,,CALLE RIBAGORZA,,CALLE SANTIAGO DULONG (DON),,389,0,0,21/10/2015,,,0,0,0,0,0,0,0,,,0,375,389,"0,05610","0,05700","0,01230","1312,00000"
456,EA,Instalado,Anual,CALLE BRAULIO FOZ,,CALLE JUAN BAUTISTA DEL MAZO,,CALLE REINA FELICIA,,390,0,0,21/10/2015,,,0,0,0,0,0,0,0,,,0,376,390,"0,05790","0,06350","0,00640","1034,00000"
457,EA,Instalado,Anual,CALLE BRAULIO FOZ,,CALLE REINA FELICIA,,CALLE JUAN BAUTISTA DEL MAZO,,391,0,0,21/10/2015,,,0,0,0,0,0,0,0,,,0,377,391,"0,05870","0,05650","0,00870","1882,00000"
458,EA,Instalado,Anual,CALLE REINA FELICIA,,CALLE RIO CINCA,,CALLE VILLA DE HIJAR,,179,0,0,16/10/2015,,,0,0,0,0,0,0,0,,,0,170,179,"0,05840","0,05370","0,01050","2042,00000"
459,EA,Instalado,Anual,PASEO MARIA AGUSTIN,,CALLE CONDE DE ARANDA,,CALLE BASILIO BOGGIERO,,56,0,0,,,,0,0,0,0,0,0,0,,,0,54,56,"0,05860","0,05290","0,01060","28539,00000"
460,EA,Instalado,Anual,CALLE CONDE DE ARANDA,,PLAZA EL PORTILLO,,PASEO MARIA AGUSTIN,,55,0,0,,,,0,0,0,0,0,0,0,,,0,53,55,"0,05640","0,05570","0,01260","11851,00000"
461,EA,Instalado,Anual,PASEO MARIA AGUSTIN,,AVENIDA MADRID,,CALLE MARIE CURIE,,52,0,0,,,,0,0,0,0,0,0,0,,,0,50,52,"0,06130","0,04920","0,00850","20121,00000"
462,EA,Instalado,Anual,PASEO MARIA AGUSTIN,,CALLE MARIE CURIE,,AVENIDA MADRID,,53,0,0,,,,0,0,0,0,0,0,0,,,0,51,53,"0,05940","0,05240","0,00960","14484,00000"
463,EA,Instalado,Anual,CALLE MARIE CURIE,,PASEO MARIA AGUSTIN,,PLAZA EL PORTILLO,,50,0,0,,,,0,0,0,0,0,0,0,,,0,48,50,"0,06150","0,04940","0,00800","1249,00000"
464,EA,Instalado,Anual,CALLE MARIE CURIE,,PLAZA EL PORTILLO,,PASEO MARIA AGUSTIN,,51,0,0,,,,0,0,0,0,0,0,0,,,0,49,51,"0,06200","0,04640","0,00880","1887,00000"
465,EA,Instalado,Anual,AVENIDA MADRID,,CALLE FUENTERRABIA,,SAN JOSE M.ESCRIVA,,497,0,0,23/10/2015,,,0,0,0,0,0,0,0,,,0,469,497,"0,06080","0,04810","0,00980","15070,00000"
466,EA,Instalado,Anual,AVENIDA MADRID,,SAN JOSE M.ESCRIVA,,CALLE FUENTERRABIA,,496,0,0,23/10/2015,,,0,0,0,0,0,0,0,,,0,468,496,"0,05870","0,04980","0,01210","13846,00000"
467,EA,Instalado,Anual,AVENIDA CIUDAD DE SORIA,,CALLE JUAN XXIII,,AVENIDA MADRID,,500,0,0,23/10/2015,,,0,0,0,0,0,0,0,,,0,472,500,"0,06240","0,05190","0,00540","10836,00000"
468,EA,Instalado,Anual,AVENIDA CIUDAD DE SORIA,,AVENIDA MADRID,,CALLE JUAN XXIII,,501,0,0,23/10/2015,,,0,0,0,0,0,0,0,,,0,473,501,"0,06210","0,04640","0,00860","12763,00000"
469,EA,Instalado,Anual,AVENIDA MADRID,,SAN JOSE M.ESCRIVA,,CALLE MANUEL ESCORIAZA Y FABRO,,503,0,0,26/10/2015,,,0,0,0,0,0,0,0,,,0,475,503,"0,05760","0,05420","0,01150","16429,00000"
470,EA,Instalado,Anual,AVENIDA MADRID,,CALLE MANUEL ESCORIAZA Y FABRO,,SAN JOSE M.ESCRIVA,,502,0,0,26/10/2015,,,0,0,0,0,0,0,0,,,0,474,502,"0,06120","0,04730","0,00950","19175,00000"
471,EA,Instalado,Anual,SAN JOSE M.ESCRIVA,,AVENIDA MADRID,,AVENIDA JOSE ANSELMO CLAVE,,498,0,0,23/10/2015,,,0,0,0,0,0,0,0,,,0,470,498,"0,06310","0,04870","0,00600","12018,00000"
472,EA,Instalado,Anual,SAN JOSE M.ESCRIVA,,AVENIDA JOSE ANSELMO CLAVE,,AVENIDA MADRID,,499,0,0,23/10/2015,,,0,0,0,0,0,0,0,,,0,471,499,"0,06060","0,04950","0,00940","13225,00000"
473,EA,Instalado,Anual,CALLE MANUEL ESCORIAZA Y FABRO,,CALLE PABLO SARASATE,,AVENIDA MADRID,,187,0,0,16/10/2015,,,0,0,0,0,0,0,0,,,0,178,187,"0,06150","0,04860","0,00840","4296,00000"
474,EA,Instalado,Anual,CALLE MANUEL ESCORIAZA Y FABRO,,AVENIDA MADRID,,CALLE PABLO SARASATE,,186,0,0,16/10/2015,,,0,0,0,0,0,0,0,,,0,177,186,"0,06350","0,04640","0,00660","1630,00000"
475,EA,Instalado,Anual,PASEO MARIA AGUSTIN,,CALLE VICENTE GOMEZ SALVO,,CALLE GENERAL MAYANDIA,,48,0,0,13/10/2015,,,0,0,0,0,0,0,0,,,0,46,48,"0,06230","0,04600","0,00860","12486,00000"
476,EA,Instalado,Anual,PASEO MARIA AGUSTIN,,CALLE GENERAL MAYANDIA,,CALLE VICENTE GOMEZ SALVO,,49,0,0,13/10/2015,,,0,0,0,0,0,0,0,,,0,47,49,"0,05960","0,05140","0,00990","31014,00000"
477,EA,Instalado,Anual,CALLE GENERAL MAYANDIA,,AVENIDA JOSE ANSELMO CLAVE,,CALLE TOMAS CRESPO DE AG?â?ôERO,,47,0,0,13/10/2015,,,0,0,0,0,0,0,0,,,0,45,47,"0,06130","0,04970","0,00820","16450,00000"
478,EA,Instalado,Anual,CALLE ARZOBISPO A?âÔÇÿOA DEL BUSTO,,AVENIDA NAVARRA,,AVENIDA MADRID,,183,0,0,16/10/2015,,,0,0,0,0,0,0,0,,,0,174,183,"0,06100","0,04740","0,00990","7974,00000"
479,EA,Instalado,Anual,AVENIDA MADRID,,AVENIDA NAVARRA,,CALLE ARZOBISPO A?âÔÇÿOA DEL BUSTO,,184,0,0,16/10/2015,,,0,0,0,0,0,0,0,,,0,175,184,"0,05760","0,05450","0,01130","10543,00000"
480,EA,Instalado,Anual,CALLE RICARDO MONTERDE,,CALLE PADRE MANJON,,AVENIDA MADRID,,185,0,0,16/10/2015,,,0,0,0,0,0,0,0,,,0,176,185,"0,06030","0,04780","0,01060","1328,00000"
481,EA,Instalado,Anual,AVENIDA NAVARRA,,CALLE ARZOBISPO A?âÔÇÿOA DEL BUSTO,,AVENIDA MADRID,,181,0,0,16/10/2015,,,0,0,0,0,0,0,0,,,0,172,181,"0,06220","0,04810","0,00770","15302,00000"
482,EA,Instalado,Anual,AVENIDA NAVARRA,,AVENIDA MADRID,,CALLE ARZOBISPO A?âÔÇÿOA DEL BUSTO,,182,0,0,16/10/2015,,,0,0,0,0,0,0,0,,,0,173,182,"0,06020","0,05130","0,00910","6586,00000"
483,EA,Instalado,Anual,CALLE TEODORO IRIARTE REINOSO,,CALLE SANTA OROSIA,,"CALLAS, MARIA",,180,0,0,16/10/2015,,,0,0,0,0,0,0,0,,,0,171,180,"0,05980","0,05110","0,00980","5647,00000"
