NMT,Fecha,tipo,LAEQ,LAS01,LAS10,LAS50,LAS90,LAS99
1,1-1-2021,T,063.3,070.9,067.5,058.7,049.2,041.2
2,1-1-2021,T,066.0,072.3,068.6,063.9,056.7,051.2
3,1-1-2021,T,066.7,067.9,057.4,048.6,041.3,038.3
5,1-1-2021,T,065.0,071.1,062.2,056.0,041.1,037.1
6,1-1-2021,T,065.6,072.9,068.5,061.8,051.3,040.5
8,1-1-2021,T,063.5,070.6,066.7,061.8,055.3,049.0
10,1-1-2021,T,065.3,072.0,064.8,055.7,047.1,045.7
11,1-1-2021,T,065.1,072.4,068.2,060.2,044.6,037.5
12,1-1-2021,T,062.9,070.9,062.2,056.8,047.2,037.7
13,1-1-2021,T,073.8,075.2,059.3,049.9,040.0,035.4
14,1-1-2021,T,063.0,071.2,064.7,060.3,052.3,045.1
16,1-1-2021,T,061.1,069.8,064.7,054.7,038.1,034.1
17,1-1-2021,T,066.9,073.1,056.8,049.4,040.5,036.2
18,1-1-2021,T,080.9,079.6,057.0,047.1,041.3,039.3
19,1-1-2021,T,058.4,067.3,060.3,052.5,042.5,032.8
20,1-1-2021,T,061.0,069.2,061.4,055.1,041.1,037.2
24,1-1-2021,T,046.7,057.4,048.8,041.7,037.8,036.2
25,1-1-2021,T,065.1,070.5,067.4,064.0,053.5,036.6
26,1-1-2021,T,057.8,068.2,061.7,052.9,044.4,034.4
27,1-1-2021,T,070.6,066.0,057.4,047.3,038.8,034.2
28,1-1-2021,T,064.5,074.2,068.9,057.6,040.7,036.5
29,1-1-2021,T,056.5,066.2,061.0,048.7,034.4,032.0
30,1-1-2021,T,057.2,066.8,059.9,051.6,040.8,036.6
31,1-1-2021,T,061.0,072.2,061.8,050.7,041.6,038.0
47,1-1-2021,T,056.1,066.6,054.1,045.1,037.3,035.2
48,1-1-2021,T,057.8,064.8,060.4,055.8,047.5,040.0
54,1-1-2021,T,064.2,073.5,062.5,054.2,039.4,034.1
55,1-1-2021,T,055.3,062.4,054.2,046.3,039.0,036.3
86,1-1-2021,T,058.4,065.8,056.7,046.2,036.8,035.4
1,1-1-2021,D,062.6,070.3,067.0,058.6,051.0,046.5
2,1-1-2021,D,065.8,071.8,068.2,063.8,058.0,053.9
3,1-1-2021,D,055.3,066.0,057.3,049.4,043.5,040.4
5,1-1-2021,D,059.5,067.0,062.1,057.1,050.7,044.0
6,1-1-2021,D,065.3,072.6,068.5,062.2,054.1,048.5
8,1-1-2021,D,063.2,070.6,066.5,061.7,055.1,050.4
10,1-1-2021,D,060.8,070.9,064.6,056.3,049.6,047.1
11,1-1-2021,D,064.8,071.6,068.0,061.1,051.0,043.5
12,1-1-2021,D,059.7,066.6,061.9,057.3,051.9,046.4
