NMT,Fecha,tipo,LAEQ,LAS01,LAS10,LAS50,LAS90,LAS99
13,1-1-2021,D,056.0,064.5,057.4,050.1,041.9,039.2
14,1-1-2021,D,062.6,067.9,064.2,060.6,054.3,050.1
16,1-1-2021,D,060.5,068.6,064.4,055.7,042.2,036.7
17,1-1-2021,D,055.9,062.8,055.8,049.8,043.4,040.7
18,1-1-2021,D,054.1,065.7,056.6,048.0,042.0,040.0
19,1-1-2021,D,056.0,064.4,059.4,052.9,045.8,042.0
20,1-1-2021,D,058.6,066.0,060.7,056.1,046.0,041.5
24,1-1-2021,D,046.3,053.7,048.8,043.5,039.3,038.1
25,1-1-2021,D,064.7,068.7,066.9,064.3,059.2,052.9
26,1-1-2021,D,058.1,068.2,062.1,053.5,048.5,044.3
27,1-1-2021,D,054.5,065.7,057.6,048.5,041.9,038.4
28,1-1-2021,D,065.1,074.3,069.5,059.3,048.1,040.6
29,1-1-2021,D,057.2,065.5,061.5,052.0,041.3,034.0
30,1-1-2021,D,056.9,064.5,060.4,054.2,047.7,046.2
31,1-1-2021,D,059.3,071.3,061.4,051.6,044.6,040.4
47,1-1-2021,D,053.0,063.0,053.0,045.9,041.8,038.6
48,1-1-2021,D,057.5,062.9,060.0,056.0,050.3,043.5
54,1-1-2021,D,058.4,066.0,061.2,054.5,043.5,039.7
55,1-1-2021,D,050.9,060.6,053.7,047.0,041.4,039.2
86,1-1-2021,D,052.4,061.8,055.9,047.7,040.3,036.5
1,1-1-2021,E,064.4,070.4,068.1,062.4,054.9,051.8
2,1-1-2021,E,067.0,072.8,068.9,066.3,061.9,058.7
3,1-1-2021,E,055.7,066.1,058.9,050.7,046.2,042.9
5,1-1-2021,E,066.0,066.3,061.7,057.1,052.3,047.3
6,1-1-2021,E,066.8,073.2,069.6,064.7,059.5,054.5
8,1-1-2021,E,064.3,070.8,067.2,062.4,057.2,049.4
10,1-1-2021,E,066.3,071.7,065.5,058.0,052.7,048.7
11,1-1-2021,E,066.4,071.9,068.6,063.4,056.0,050.2
12,1-1-2021,E,062.2,070.2,062.6,058.5,054.3,050.4
13,1-1-2021,E,055.7,064.5,058.2,052.1,047.1,043.7
14,1-1-2021,E,062.8,068.0,064.5,061.4,058.1,055.5
16,1-1-2021,E,060.5,067.6,064.5,057.8,045.9,041.1
17,1-1-2021,E,062.1,063.5,056.1,051.3,047.7,044.4
18,1-1-2021,E,052.4,061.4,054.9,047.7,043.3,041.9
19,1-1-2021,E,057.3,066.3,060.6,054.4,050.1,046.1
20,1-1-2021,E,058.7,067.3,061.6,055.6,049.3,045.3
24,1-1-2021,E,042.9,050.6,045.0,041.3,039.4,038.2
25,1-1-2021,E,065.4,068.8,067.2,065.2,062.6,059.6
26,1-1-2021,E,057.9,067.6,062.1,053.6,050.0,047.4
27,1-1-2021,E,055.3,066.3,058.8,049.5,044.3,040.8
28,1-1-2021,E,064.8,073.8,069.0,061.1,052.0,044.8
29,1-1-2021,E,059.0,068.8,062.9,050.6,040.6,036.1
30,1-1-2021,E,057.3,064.6,058.3,051.4,044.9,042.6
31,1-1-2021,E,059.6,071.3,063.1,052.3,048.1,046.0
47,1-1-2021,E,051.1,062.5,052.5,046.4,042.1,040.1
48,1-1-2021,E,058.1,062.8,060.1,057.7,054.0,051.0
54,1-1-2021,E,059.0,066.4,062.2,057.2,051.1,046.0
55,1-1-2021,E,052.3,062.1,054.9,048.6,044.1,041.2
86,1-1-2021,E,052.8,062.4,056.5,048.3,041.8,039.5
1,1-1-2021,N,062.6,071.9,067.3,055.9,044.2,039.4
2,1-1-2021,N,066.5,073.0,068.8,061.5,053.8,049.3
3,1-1-2021,N,071.3,075.2,055.6,045.1,039.2,038.0
5,1-1-2021,N,068.2,076.1,063.1,046.1,038.0,036.6
6,1-1-2021,N,064.3,073.6,066.8,056.2,044.8,038.5
10,1-1-2021,N,068.5,076.3,064.3,049.6,046.3,045.3
11,1-1-2021,N,064.3,073.0,067.6,052.0,038.7,037.1
12,1-1-2021,N,065.6,076.8,062.7,052.3,040.8,036.4
13,1-1-2021,N,078.5,086.1,064.1,045.1,036.7,035.0
14,1-1-2021,N,064.0,075.3,066.2,057.3,048.6,042.9
16,1-1-2021,N,062.1,071.7,065.3,045.7,035.0,033.5
17,1-1-2021,N,071.3,080.4,061.8,044.1,037.4,035.6
18,1-1-2021,N,085.6,098.8,061.9,045.0,040.2,039.1
19,1-1-2021,N,061.1,070.8,061.7,047.2,036.9,031.0
20,1-1-2021,N,064.4,076.8,062.7,045.9,037.8,036.8
24,1-1-2021,N,048.2,059.3,052.2,038.9,036.7,036.1
25,1-1-2021,N,065.2,072.2,069.0,059.1,043.1,034.2
26,1-1-2021,N,057.0,068.5,059.9,049.0,037.3,033.3
27,1-1-2021,N,075.4,066.6,055.7,042.2,035.7,033.4
28,1-1-2021,N,062.9,074.3,066.4,045.9,037.6,036.1
29,1-1-2021,N,051.8,064.8,053.7,036.9,032.6,031.4
30,1-1-2021,N,057.7,070.1,059.4,043.2,037.7,036.2
31,1-1-2021,N,063.1,075.8,061.4,044.9,039.4,037.3
47,1-1-2021,N,059.4,071.1,057.6,039.6,035.8,035.1
48,1-1-2021,N,057.9,067.3,061.6,051.9,042.4,038.0
54,1-1-2021,N,068.1,078.2,065.4,045.7,035.5,033.1
55,1-1-2021,N,058.6,066.4,054.7,041.8,037.0,036.1
86,1-1-2021,N,062.4,070.6,059.2,039.5,036.1,035.1
1,2-1-2021,T,064.1,070.6,067.9,060.5,046.1,039.0
2,2-1-2021,T,067.5,074.0,069.4,065.6,056.1,049.8
3,2-1-2021,T,057.2,066.9,059.8,052.2,039.1,037.0
5,2-1-2021,T,060.0,067.0,062.8,056.9,038.7,036.6
6,2-1-2021,T,066.9,073.7,070.0,063.3,048.3,039.0
8,2-1-2021,T,063.1,070.6,066.6,061.3,047.0,039.9
10,2-1-2021,T,061.7,071.7,065.8,056.5,046.4,045.1
11,2-1-2021,T,065.7,072.3,068.9,062.0,040.8,037.1
12,2-1-2021,T,060.1,067.1,062.6,057.5,047.1,044.3
13,2-1-2021,T,054.4,063.4,057.9,050.5,036.7,035.0
14,2-1-2021,T,062.6,068.9,064.8,061.2,050.0,040.5
16,2-1-2021,T,059.7,067.1,063.8,056.0,036.1,034.2
17,2-1-2021,T,054.8,062.8,057.1,050.1,038.9,034.6
18,2-1-2021,T,053.6,063.4,056.8,048.4,042.6,042.1
19,2-1-2021,T,058.0,066.3,060.4,052.8,038.1,031.2
20,2-1-2021,T,058.3,066.8,061.2,055.1,038.4,037.1
24,2-1-2021,T,047.4,056.3,051.5,041.8,037.8,037.0
25,2-1-2021,T,065.8,069.9,068.5,066.0,053.4,039.6
26,2-1-2021,T,058.4,068.0,062.7,054.1,044.4,035.2
27,2-1-2021,T,055.1,065.3,058.6,049.4,038.2,032.7
28,2-1-2021,T,065.3,074.6,069.9,059.6,038.7,036.3
29,2-1-2021,T,055.0,064.7,059.5,047.7,032.9,031.3
30,2-1-2021,T,056.2,064.3,060.4,052.6,038.7,036.4
31,2-1-2021,T,063.1,073.4,068.4,054.7,040.7,038.3
47,2-1-2021,T,052.9,064.8,054.0,044.7,036.9,035.4
48,2-1-2021,T,057.7,064.2,060.6,056.5,042.5,038.2
54,2-1-2021,T,059.3,066.6,063.0,057.3,037.4,034.1
55,2-1-2021,T,052.4,061.9,054.7,047.7,038.2,036.2
86,2-1-2021,T,051.9,061.8,055.8,045.6,037.1,036.1
1,2-1-2021,D,065.1,071.0,068.5,062.0,055.1,047.5
2,2-1-2021,D,068.7,074.5,069.8,066.8,061.6,056.4
3,2-1-2021,D,058.1,066.8,060.5,054.2,046.5,041.7
5,2-1-2021,D,060.9,067.6,063.5,058.9,052.7,044.7
6,2-1-2021,D,068.1,074.4,070.8,065.0,057.8,050.8
8,2-1-2021,D,063.8,070.7,067.0,062.5,055.9,046.5
10,2-1-2021,D,063.0,072.3,067.0,058.7,052.3,047.5
11,2-1-2021,D,067.2,073.5,069.6,064.6,055.9,046.2
12,2-1-2021,D,061.3,068.0,063.3,059.3,054.6,050.0
13,2-1-2021,D,055.6,064.1,058.7,052.7,045.6,040.2
14,2-1-2021,D,063.9,070.7,065.1,062.2,058.3,053.3
16,2-1-2021,D,060.7,067.5,064.5,058.9,047.6,041.5
17,2-1-2021,D,056.6,063.6,058.1,052.9,046.8,044.2
18,2-1-2021,D,055.2,065.0,057.9,051.2,045.3,042.5
19,2-1-2021,D,058.3,066.8,061.3,055.0,049.3,045.6
20,2-1-2021,D,059.4,067.5,062.3,057.3,050.3,043.3
24,2-1-2021,D,049.6,057.5,052.9,047.7,039.6,038.3
25,2-1-2021,D,067.0,070.4,068.8,067.0,063.4,058.7
26,2-1-2021,D,059.9,068.8,064.3,055.6,051.8,048.8
27,2-1-2021,D,056.8,065.9,060.4,052.4,047.3,043.8
28,2-1-2021,D,067.1,075.2,071.3,063.6,053.3,045.4
29,2-1-2021,D,056.2,064.8,060.6,052.0,043.3,035.0
30,2-1-2021,D,057.3,064.9,060.8,055.1,047.7,044.2
31,2-1-2021,D,064.8,073.9,069.9,058.2,048.4,045.3
47,2-1-2021,D,054.6,065.9,055.1,047.5,042.1,039.2
48,2-1-2021,D,058.8,065.0,060.9,058.0,052.4,044.8
54,2-1-2021,D,060.6,066.9,063.7,059.4,050.9,042.2
55,2-1-2021,D,053.4,062.4,055.9,050.1,045.2,042.1
86,2-1-2021,D,053.3,062.4,057.1,049.1,043.0,040.2
1,2-1-2021,E,065.6,071.3,068.2,063.9,058.6,055.3
2,2-1-2021,E,068.4,075.8,069.7,067.0,063.7,060.8
3,2-1-2021,E,059.0,068.9,061.5,054.9,050.3,046.2
5,2-1-2021,E,060.9,067.4,063.6,059.2,054.7,050.2
6,2-1-2021,E,068.6,075.7,070.7,065.8,061.3,056.8
8,2-1-2021,E,065.0,071.6,067.8,063.3,059.4,055.1
10,2-1-2021,E,062.7,071.9,066.8,058.8,053.2,049.2
11,2-1-2021,E,067.1,071.8,069.5,065.3,058.5,053.0
12,2-1-2021,E,060.8,067.1,062.7,059.2,055.3,051.6
13,2-1-2021,E,055.4,063.9,058.2,052.6,047.4,043.6
14,2-1-2021,E,063.6,068.8,065.2,062.5,059.7,057.4
16,2-1-2021,E,061.5,067.1,064.3,058.8,048.5,042.4
17,2-1-2021,E,054.6,062.5,057.0,051.8,047.2,044.9
18,2-1-2021,E,054.2,062.7,057.4,050.6,045.3,044.0
19,2-1-2021,E,057.9,067.2,061.4,054.8,050.1,047.2
20,2-1-2021,E,060.8,068.1,062.3,056.5,050.6,046.1
24,2-1-2021,E,044.8,054.0,048.0,041.9,039.3,038.3
25,2-1-2021,E,067.2,069.8,068.7,067.0,065.0,063.0
26,2-1-2021,E,058.5,067.9,062.4,054.6,051.2,048.5
27,2-1-2021,E,054.7,064.8,058.3,049.1,045.0,041.7
28,2-1-2021,E,065.6,074.0,069.8,062.0,053.4,046.5
29,2-1-2021,E,057.3,066.8,060.8,049.0,040.7,035.8
30,2-1-2021,E,055.1,063.8,058.6,052.3,046.4,044.2
31,2-1-2021,E,064.9,073.8,069.8,059.0,051.7,044.4
47,2-1-2021,E,053.5,065.9,055.7,046.2,042.0,040.1
48,2-1-2021,E,059.4,065.3,061.4,058.3,054.5,052.0
54,2-1-2021,E,061.4,067.5,063.8,059.7,055.0,049.3
55,2-1-2021,E,053.3,063.4,055.4,048.7,044.1,042.1
86,2-1-2021,E,053.3,062.8,056.6,047.8,041.2,039.1
1,2-1-2021,N,061.0,069.8,064.1,051.7,041.0,038.2
2,2-1-2021,N,062.9,070.2,065.9,059.9,052.4,048.1
3,2-1-2021,N,053.5,066.3,052.0,041.4,037.5,036.3
5,2-1-2021,N,057.0,062.3,055.1,041.9,037.3,036.2
6,2-1-2021,N,061.9,070.0,064.0,053.0,041.6,038.2
8,2-1-2021,N,058.7,068.6,062.6,052.6,041.6,039.3
10,2-1-2021,N,056.9,069.0,059.4,047.9,045.4,045.0
11,2-1-2021,N,058.1,069.6,062.6,046.8,037.9,036.5
12,2-1-2021,N,056.3,062.7,057.3,049.9,045.2,044.1
13,2-1-2021,N,049.1,061.2,051.3,038.7,035.5,034.3
14,2-1-2021,N,057.5,065.8,061.5,054.1,044.0,038.2
16,2-1-2021,N,054.1,065.4,059.0,039.0,034.8,034.0
17,2-1-2021,N,048.9,059.1,049.9,041.7,036.2,034.1
18,2-1-2021,N,046.8,057.5,048.0,042.9,042.2,041.5
19,2-1-2021,N,050.8,062.1,053.6,042.7,033.7,030.0
20,2-1-2021,N,050.5,062.3,052.2,039.9,037.4,037.0
24,2-1-2021,N,039.5,046.8,040.9,038.4,037.2,036.5
25,2-1-2021,N,060.7,067.5,064.8,058.3,045.2,035.9
26,2-1-2021,N,053.8,066.0,055.6,048.6,038.7,033.1
27,2-1-2021,N,049.8,062.7,049.1,041.2,034.4,032.0
28,2-1-2021,N,057.9,070.4,060.7,042.0,037.1,036.0
29,2-1-2021,N,047.0,060.6,047.5,034.4,031.9,031.1
30,2-1-2021,N,054.5,063.8,060.5,041.4,037.2,036.1
31,2-1-2021,N,050.8,062.6,048.7,041.9,039.2,037.9
47,2-1-2021,N,046.3,058.3,044.2,038.3,036.1,035.1
48,2-1-2021,N,051.6,060.3,055.8,047.0,039.4,037.6
54,2-1-2021,N,050.9,062.2,055.3,040.5,035.3,033.3
55,2-1-2021,N,045.1,054.9,046.8,040.1,036.7,036.0
86,2-1-2021,N,044.9,056.8,045.0,037.9,036.3,036.0
1,3-1-2021,T,063.4,070.7,067.9,059.3,047.2,040.4
2,3-1-2021,T,065.6,071.8,068.2,063.9,057.7,050.6
3,3-1-2021,T,058.0,066.9,060.7,051.8,041.4,039.5
5,3-1-2021,T,058.6,065.9,061.9,055.9,039.6,037.2
6,3-1-2021,T,066.7,073.6,069.3,062.6,049.0,039.4
8,3-1-2021,T,063.2,070.5,066.4,061.1,048.4,040.1
10,3-1-2021,T,062.6,071.3,065.2,056.1,045.9,045.1
11,3-1-2021,T,064.4,071.9,068.6,060.9,040.3,037.0
12,3-1-2021,T,060.7,068.9,062.4,057.2,046.7,044.2
13,3-1-2021,T,053.3,062.0,056.9,049.4,037.4,035.6
14,3-1-2021,T,061.9,068.3,064.6,060.8,050.6,041.6
16,3-1-2021,T,060.5,068.5,063.8,055.1,036.3,034.2
17,3-1-2021,T,054.6,064.0,057.1,049.5,038.2,035.3
18,3-1-2021,T,056.4,065.8,057.6,046.7,038.7,038.1
19,3-1-2021,T,056.3,065.6,059.8,052.3,038.6,030.9
20,3-1-2021,T,058.2,066.3,060.6,054.4,038.8,037.2
24,3-1-2021,T,048.2,057.1,052.3,042.6,037.7,036.7
25,3-1-2021,T,064.7,068.9,067.4,064.8,053.7,039.4
26,3-1-2021,T,058.1,067.8,061.8,054.1,046.1,040.4
27,3-1-2021,T,053.9,064.8,057.3,047.9,037.8,033.1
28,3-1-2021,T,064.8,074.3,069.4,058.6,037.9,036.0
29,3-1-2021,T,055.4,064.9,059.9,047.7,032.2,031.1
30,3-1-2021,T,056.3,064.7,060.1,052.3,040.2,037.7
31,3-1-2021,T,062.3,072.9,067.4,053.7,039.1,037.2
47,3-1-2021,T,052.2,065.3,052.7,045.4,037.3,036.1
48,3-1-2021,T,057.4,064.2,060.3,056.0,042.7,036.5
54,3-1-2021,T,058.1,065.9,062.1,055.8,037.8,033.7
55,3-1-2021,T,051.6,061.0,053.5,046.9,039.5,036.7
86,3-1-2021,T,054.4,062.6,055.9,046.8,037.9,036.7
1,3-1-2021,D,063.8,070.9,068.1,060.4,052.7,045.3
2,3-1-2021,D,065.9,071.8,068.1,064.3,060.1,055.5
3,3-1-2021,D,059.1,067.0,061.6,054.8,046.0,042.8
5,3-1-2021,D,060.3,067.4,062.8,058.1,050.7,043.2
6,3-1-2021,D,067.7,074.7,070.0,063.9,055.5,048.2
8,3-1-2021,D,063.7,070.8,066.7,062.2,054.0,045.9
10,3-1-2021,D,063.8,071.8,066.5,058.4,051.9,047.3
11,3-1-2021,D,065.6,072.4,069.2,063.4,053.1,043.2
12,3-1-2021,D,061.6,069.7,063.0,058.7,053.3,048.5
13,3-1-2021,D,054.3,062.5,057.7,051.5,044.3,041.1
14,3-1-2021,D,063.0,068.9,065.1,062.1,057.2,052.1
16,3-1-2021,D,062.2,072.2,064.6,058.1,046.0,039.4
17,3-1-2021,D,056.4,065.4,058.7,051.9,045.3,043.2
18,3-1-2021,D,058.9,067.9,059.6,051.6,043.0,039.0
19,3-1-2021,D,057.6,066.0,060.7,054.3,048.6,045.3
20,3-1-2021,D,059.3,066.9,061.6,056.7,048.7,043.0
24,3-1-2021,D,050.6,058.4,053.8,048.7,041.3,039.4
25,3-1-2021,D,065.8,069.3,067.7,065.7,062.1,057.1
26,3-1-2021,D,059.5,068.3,063.4,055.4,051.9,049.0
27,3-1-2021,D,055.6,065.8,059.3,050.1,045.2,042.5
28,3-1-2021,D,066.6,074.9,070.9,062.9,051.6,041.6
29,3-1-2021,D,056.8,065.5,061.1,052.5,043.2,035.9
30,3-1-2021,D,057.8,065.2,061.1,056.0,047.2,044.2
31,3-1-2021,D,063.8,073.4,069.0,056.6,048.7,046.0
47,3-1-2021,D,053.4,066.4,054.1,047.2,042.5,040.1
48,3-1-2021,D,058.4,065.3,060.6,057.4,051.2,043.3
54,3-1-2021,D,059.3,066.1,062.7,058.1,048.1,042.8
55,3-1-2021,D,052.6,061.7,054.6,048.9,044.7,042.2
86,3-1-2021,D,056.6,064.2,057.6,049.8,043.4,040.4
1,3-1-2021,E,065.7,071.3,068.9,063.9,056.8,052.5
2,3-1-2021,E,067.2,072.4,069.1,066.3,062.5,059.5
3,3-1-2021,E,058.0,067.6,061.5,054.5,048.3,044.3
5,3-1-2021,E,059.3,065.6,062.5,058.0,053.4,049.3
6,3-1-2021,E,067.9,073.2,070.2,065.3,060.6,056.7
8,3-1-2021,E,065.2,070.8,067.6,063.3,058.6,052.7
10,3-1-2021,E,063.7,071.8,066.5,058.9,053.2,049.9
11,3-1-2021,E,066.2,072.2,069.4,064.7,057.4,051.7
12,3-1-2021,E,062.2,071.4,063.1,059.3,055.5,052.2
13,3-1-2021,E,055.2,062.7,057.9,052.4,047.7,044.8
14,3-1-2021,E,062.9,069.4,064.8,061.9,058.8,055.9
16,3-1-2021,E,060.7,067.3,064.1,058.4,048.4,044.4
17,3-1-2021,E,054.0,062.1,056.6,051.4,047.2,043.3
18,3-1-2021,E,052.6,061.7,055.8,048.1,043.5,042.0
19,3-1-2021,E,057.6,066.8,060.9,054.2,050.3,048.1
20,3-1-2021,E,060.9,067.8,061.9,056.4,050.4,046.5
24,3-1-2021,E,044.4,053.3,047.2,041.2,038.5,038.0
25,3-1-2021,E,066.2,068.9,067.7,066.1,064.0,061.4
26,3-1-2021,E,058.4,067.3,062.5,054.9,052.1,050.0
27,3-1-2021,E,053.8,064.4,057.2,048.8,045.5,043.7
28,3-1-2021,E,065.3,074.0,069.2,061.6,053.3,047.4
29,3-1-2021,E,057.3,065.7,060.5,049.0,040.6,036.3
30,3-1-2021,E,056.7,064.8,059.3,053.3,048.7,046.8
31,3-1-2021,E,064.4,073.4,069.1,058.6,051.2,047.3
47,3-1-2021,E,053.6,066.8,053.8,047.4,044.5,043.0
48,3-1-2021,E,059.0,064.3,060.9,058.3,055.1,052.1
54,3-1-2021,E,060.0,066.8,063.2,058.7,052.8,047.1
55,3-1-2021,E,053.7,061.9,054.4,048.2,044.7,043.3
86,3-1-2021,E,053.8,062.0,056.2,049.0,044.5,041.0
1,3-1-2021,N,060.8,069.9,065.7,053.5,042.9,039.3
2,3-1-2021,N,064.5,071.6,067.7,061.8,053.6,048.2
3,3-1-2021,N,053.8,065.8,054.2,043.1,040.2,039.1
5,3-1-2021,N,052.8,062.0,056.0,043.2,037.8,037.1
6,3-1-2021,N,063.5,071.3,065.5,054.1,043.2,038.1
8,3-1-2021,N,060.4,069.9,064.4,054.4,042.9,039.4
10,3-1-2021,N,058.2,068.6,058.7,046.9,045.3,045.0
11,3-1-2021,N,059.4,070.2,064.3,047.0,037.5,036.3
12,3-1-2021,N,056.5,063.6,058.4,049.9,044.9,044.0
13,3-1-2021,N,049.7,060.7,053.5,039.0,036.3,035.2
14,3-1-2021,N,058.4,066.6,062.8,054.6,045.4,039.7
16,3-1-2021,N,055.4,066.2,060.4,039.6,034.8,034.0
17,3-1-2021,N,047.2,057.5,049.6,041.0,036.2,035.0
18,3-1-2021,N,047.5,058.2,049.3,039.4,038.2,038.0
19,3-1-2021,N,057.4,063.5,054.9,042.8,033.8,029.9
20,3-1-2021,N,050.6,062.8,053.0,040.7,037.6,037.1
24,3-1-2021,N,041.9,052.5,042.8,038.5,037.2,036.2
25,3-1-2021,N,061.4,068.5,066.0,058.5,044.6,036.9
26,3-1-2021,N,054.3,066.0,055.7,049.4,042.3,039.4
27,3-1-2021,N,049.9,062.8,050.3,041.1,034.2,032.5
28,3-1-2021,N,058.4,070.8,061.4,040.4,036.5,035.4
29,3-1-2021,N,047.2,061.3,046.8,033.3,031.4,031.0
30,3-1-2021,N,050.5,060.8,053.9,042.5,038.5,037.2
31,3-1-2021,N,051.5,064.5,048.1,040.5,037.8,037.0
47,3-1-2021,N,046.0,057.7,044.3,038.8,036.4,035.7
48,3-1-2021,N,054.3,062.0,057.6,047.3,038.3,036.0
54,3-1-2021,N,052.7,063.7,057.2,040.5,035.0,033.1
55,3-1-2021,N,049.9,058.4,048.9,041.8,037.6,036.2
86,3-1-2021,N,045.2,057.0,044.4,038.7,037.2,036.2
1,4-1-2021,T,065.4,071.9,069.5,062.0,047.5,038.9
2,4-1-2021,T,068.7,074.8,070.3,066.8,056.4,049.2
3,4-1-2021,T,060.1,069.8,063.0,055.6,041.2,038.4
5,4-1-2021,T,059.6,066.8,062.9,057.8,039.5,037.2
6,4-1-2021,T,067.7,075.5,071.3,064.8,048.9,039.6
8,4-1-2021,T,064.5,071.6,067.9,063.1,049.2,040.4
10,4-1-2021,T,064.1,072.8,067.5,059.0,046.5,045.2
11,4-1-2021,T,066.9,073.2,070.2,064.9,040.5,037.2
12,4-1-2021,T,061.2,068.9,063.4,059.1,044.4,037.3
13,4-1-2021,T,055.9,063.9,058.8,052.2,039.5,037.1
14,4-1-2021,T,063.3,069.5,065.5,062.2,052.3,043.4
16,4-1-2021,T,061.0,067.8,064.8,058.6,039.2,036.4
17,4-1-2021,T,055.9,065.7,058.5,051.9,040.9,036.7
18,4-1-2021,T,056.1,067.2,057.4,048.8,041.2,040.1
19,4-1-2021,T,058.2,066.4,061.7,054.8,039.7,033.3
20,4-1-2021,T,059.8,066.7,061.9,055.6,040.4,038.2
24,4-1-2021,T,046.9,055.9,050.4,043.0,037.0,036.1
25,4-1-2021,T,066.3,070.7,068.6,066.4,054.7,042.6
26,4-1-2021,T,059.4,068.2,063.7,055.4,043.9,037.0
27,4-1-2021,T,055.2,065.4,059.4,049.5,036.7,032.4
28,4-1-2021,T,066.5,074.9,071.0,062.2,039.6,037.2
29,4-1-2021,T,056.3,065.8,061.3,049.9,033.1,032.1
30,4-1-2021,T,057.5,065.6,061.0,054.8,043.2,040.7
31,4-1-2021,T,064.0,073.6,069.3,056.2,042.4,039.7
47,4-1-2021,T,053.0,065.2,054.0,047.2,037.9,036.5
48,4-1-2021,T,058.9,065.4,062.1,057.8,044.2,039.6
50,4-1-2021,T,066.2,074.5,067.5,064.4,060.4,056.3
54,4-1-2021,T,060.3,067.0,063.9,059.1,041.9,038.7
55,4-1-2021,T,052.8,062.6,055.7,049.0,040.0,037.2
86,4-1-2021,T,054.5,063.3,057.6,049.6,037.7,036.1
1,4-1-2021,D,067.0,072.3,070.3,065.2,058.5,054.2
2,4-1-2021,D,069.7,076.3,070.9,068.3,064.7,061.8
3,4-1-2021,D,062.0,071.7,064.3,059.2,053.2,045.3
5,4-1-2021,D,061.4,068.0,063.8,059.9,055.9,051.5
6,4-1-2021,D,069.3,076.3,072.1,067.1,062.7,058.6
8,4-1-2021,D,066.0,072.0,068.7,064.6,061.4,057.2
10,4-1-2021,D,066.3,073.7,069.3,062.1,056.7,053.0
11,4-1-2021,D,068.6,074.1,070.9,067.5,061.6,055.2
12,4-1-2021,D,062.6,069.9,064.3,061.1,057.5,054.4
13,4-1-2021,D,057.1,064.7,059.6,054.6,049.0,045.5
14,4-1-2021,D,064.3,069.6,065.9,063.4,060.8,058.6
16,4-1-2021,D,062.5,068.0,065.5,061.3,053.4,046.6
17,4-1-2021,D,056.5,064.4,058.5,053.7,049.4,046.6
18,4-1-2021,D,058.5,070.2,059.2,052.5,046.0,042.9
19,4-1-2021,D,059.6,067.1,062.6,057.3,053.0,050.7
20,4-1-2021,D,061.8,067.4,063.0,057.9,053.5,049.7
24,4-1-2021,D,049.0,057.1,051.9,046.6,041.7,040.1
25,4-1-2021,D,067.7,071.4,069.1,067.4,065.8,064.3
26,4-1-2021,D,061.1,068.7,065.0,057.3,053.9,051.4
27,4-1-2021,D,056.9,066.3,061.0,051.8,047.2,044.3
