NMT; anio; mes; dia; tipo; LAEQ; LAS01; LAS10; LAS50; LAS90; LAS99
26;2021;1;1; E; 057.9; 067.6; 062.1; 053.6; 050.0; 047.4
27;2021;1;1; E; 055.3; 066.3; 058.8; 049.5; 044.3; 040.8
28;2021;1;1; E; 064.8; 073.8; 069.0; 061.1; 052.0; 044.8
29;2021;1;1; E; 059.0; 068.8; 062.9; 050.6; 040.6; 036.1
30;2021;1;1; E; 057.3; 064.6; 058.3; 051.4; 044.9; 042.6
31;2021;1;1; E; 059.6; 071.3; 063.1; 052.3; 048.1; 046.0
47;2021;1;1; E; 051.1; 062.5; 052.5; 046.4; 042.1; 040.1
48;2021;1;1; E; 058.1; 062.8; 060.1; 057.7; 054.0; 051.0
54;2021;1;1; E; 059.0; 066.4; 062.2; 057.2; 051.1; 046.0
55;2021;1;1; E; 052.3; 062.1; 054.9; 048.6; 044.1; 041.2
86;2021;1;1; E; 052.8; 062.4; 056.5; 048.3; 041.8; 039.5
1;2021;1;1; N; 062.6; 071.9; 067.3; 055.9; 044.2; 039.4
2;2021;1;1; N; 066.5; 073.0; 068.8; 061.5; 053.8; 049.3
3;2021;1;1; N; 071.3; 075.2; 055.6; 045.1; 039.2; 038.0
5;2021;1;1; N; 068.2; 076.1; 063.1; 046.1; 038.0; 036.6
6;2021;1;1; N; 064.3; 073.6; 066.8; 056.2; 044.8; 038.5
10;2021;1;1; N; 068.5; 076.3; 064.3; 049.6; 046.3; 045.3
11;2021;1;1; N; 064.3; 073.0; 067.6; 052.0; 038.7; 037.1
12;2021;1;1; N; 065.6; 076.8; 062.7; 052.3; 040.8; 036.4
13;2021;1;1; N; 078.5; 086.1; 064.1; 045.1; 036.7; 035.0
14;2021;1;1; N; 064.0; 075.3; 066.2; 057.3; 048.6; 042.9
16;2021;1;1; N; 062.1; 071.7; 065.3; 045.7; 035.0; 033.5
17;2021;1;1; N; 071.3; 080.4; 061.8; 044.1; 037.4; 035.6
18;2021;1;1; N; 085.6; 098.8; 061.9; 045.0; 040.2; 039.1
19;2021;1;1; N; 061.1; 070.8; 061.7; 047.2; 036.9; 031.0
20;2021;1;1; N; 064.4; 076.8; 062.7; 045.9; 037.8; 036.8
24;2021;1;1; N; 048.2; 059.3; 052.2; 038.9; 036.7; 036.1
25;2021;1;1; N; 065.2; 072.2; 069.0; 059.1; 043.1; 034.2
