Id_Estacion,Nombre_Estación,URI_Estacion,Fecha,tipo,Hash_Observacion,URI_Observacion,LAEQ,LAS01,LAS10,LAS50,LAS90,LAS99
24,Casa de Campo,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/casa-de-campo,1/1/2021,T,da778341f4ffb55b13e59fd3715946f9,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/da778341f4ffb55b13e59fd3715946f9,046.7,057.4,048.8,041.7,037.8,036.2
25,Santa Eugenia,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/santa-eugenia,1/1/2021,T,ca0f46c30c4b054a6cb776b9b6e6bcf2,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/ca0f46c30c4b054a6cb776b9b6e6bcf2,065.1,070.5,067.4,064.0,053.5,036.6
26,Embajada,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/embajada,1/1/2021,T,bf481ed6b6ee77b8e20cb7090e4c79c2,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/bf481ed6b6ee77b8e20cb7090e4c79c2,057.8,068.2,061.7,052.9,044.4,034.4
27,Barajas Pueblo,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/barajas-pueblo,1/1/2021,T,0dcee3263b383960d3ad6bc851bb7e30,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/0dcee3263b383960d3ad6bc851bb7e30,070.6,066.0,057.4,047.3,038.8,034.2
28,Cuatro Vientos,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cuatro-vientos,1/1/2021,T,58d1b5fffe7310bdccaa6c2d9d69ba70,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/58d1b5fffe7310bdccaa6c2d9d69ba70,064.5,074.2,068.9,057.6,040.7,036.5
29,El Pardo,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/el-pardo,1/1/2021,T,75c0a831c43fbb31f4083700c75338ba,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/75c0a831c43fbb31f4083700c75338ba,056.5,066.2,061.0,048.7,034.4,032.0
30,Campo de las Naciones,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/campo-de-las-naciones,1/1/2021,T,74b704a33e75eecafa5cfc7911591c7b,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/74b704a33e75eecafa5cfc7911591c7b,057.2,066.8,059.9,051.6,040.8,036.6
31,Sanchinarro,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/sanchinarro,1/1/2021,T,c90a8051f9913074123dfb22826ad524,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/c90a8051f9913074123dfb22826ad524,061.0,072.2,061.8,050.7,041.6,038.0
47,Mendez Álvaro,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/mendez-álvaro,1/1/2021,T,1428297d3a0bce4e5e60ecb5b5ab97f8,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/1428297d3a0bce4e5e60ecb5b5ab97f8,056.1,066.6,054.1,045.1,037.3,035.2
48,Castellana,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/castellana,1/1/2021,T,e8ffa36d32a0fcde2ca624792f264ded,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/e8ffa36d32a0fcde2ca624792f264ded,057.8,064.8,060.4,055.8,047.5,040.0
54,Ensanche de Vallecas,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/ensanche-de-vallecas,1/1/2021,T,7c4d17070b89fbf3528eb7b6502beedc,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/7c4d17070b89fbf3528eb7b6502beedc,064.2,073.5,062.5,054.2,039.4,034.1
55,Urb Embajada 2,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/urb-embajada-2,1/1/2021,T,bf7092fef49aedb4e41b2668ac971abc,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/bf7092fef49aedb4e41b2668ac971abc,055.3,062.4,054.2,046.3,039.0,036.3
86,Tres Olivos,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/tres-olivos,1/1/2021,T,0380e2dc941fc80a046df0cd531236b5,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/0380e2dc941fc80a046df0cd531236b5,058.4,065.8,056.7,046.2,036.8,035.4
